id	tweet	subtask_a	subtask_b	subtask_c
79810	@USER @USER @USER I was 15 ==&gt; I can remember everything time place witnesses I told and who drove me home I was glad I was still alive.  Too many women out here KNOW the truth so who are the Dems running this scam for?  Their Gruber Brained ANTIFA crowd?  Naw who then?	NOT	NULL	NULL
85054	@USER @USER 👏👏👍👍👍 Exactly!	NOT	NULL	NULL
45025	@USER Pussy and ass are ✌🏾different times. And I've NEVER in my black life ever ate chittlerings lol	OFF	TIN	GRP
10546	"@USER Uh...ALL of their signatures are on the record"", genius.  🚂 #MAGA"""	NOT	NULL	NULL
30562	@USER @USER @USER @USER @USER @USER @USER @USER @USER The feeling is mutual sunshine!! You are probably #Antifa	NOT	NULL	NULL
85525	@USER @USER @USER @USER @USER You better pray hard because I will come in with him being guilty and he better prove he is innocent and if it's a child he can wrap it up prison is his destiny. Women can lie but 1 in a million lie about sexual assaults and rape	NOT	NULL	NULL
68921	@USER He wants in the White House! URL	NOT	NULL	NULL
38761	@USER Because he is a Republican.	NOT	NULL	NULL
47845	@USER Nobody wants a supergirl movie. The show is shitty enough.	NOT	NULL	NULL
73035	@USER @USER I am upset. You know why because I remember following you based on the content of your post. I followed you around the 2016 election. You and many others lkke me were fighting for Hillary against real sexism and stupidity. All I asked was why do liberals attack other liberals URL	NOT	NULL	NULL
48986	That puts everything into perspective.   #MAGA on! URL	NOT	NULL	NULL
35518	@USER But not long ago the same Ray went off on a follower (who quite possibly pays for his services) for pointing out a guy (don’t remember who) for getting injured again. You guys pay this assholes bills	OFF	TIN	OTH
10718	@USER @USER Sounds good false or not she is willing to testify	NOT	NULL	NULL
83135	@USER @USER @USER He's not an opportunistic liar. Nor have you proven he is. So your whole argument is fake news.	OFF	TIN	IND
43414	@USER Ms. Clinton - you are a class act. My response to that idiot would likely land me in twitter jail (but would totally be worth it). I hope you run for office one day.	OFF	TIN	IND
58812	#fesheyes The rise in support for gun control has given me a new view on the topic. Drugs are illegal and criminals still have them. The same would happen with firearms.. law abiding citizens would lose their right and nothing would change to the criminals. URL	NOT	NULL	NULL
93077	@USER @USER You do know gun control doesn’t mean the public shouldn’t have guns it means stricter gun regulations and making the process of acquiring guns harder than it is now you can go to a gun store and get a gun and leave in 22 minuets you can go to a gun show and get one faster	NOT	NULL	NULL
34422	@USER Conservatives keep telling us how a few million immigrants are ruining the economy. How would multiplying those numbers several times help that?	OFF	TIN	GRP
87799	@USER Ever heard of Antifa or Soros? Now now that’s radical.	NOT	NULL	NULL
67961	@USER @USER @USER @USER “It’s the people that shouldn’t have them that’s the problem” EXACTLY!! That’s gun control! Keeping them out of the hands of those who shouldn’t have them.	NOT	NULL	NULL
93745	@USER I would think already since you are only following half the people that are following you? It is called the follow BACK resistance.	NOT	NULL	NULL
99672	#TheresaMay #MonsterMay #Conservatives must answer for their crimes. #DWPcrimes #DWP #Tories #ToriesOut URL	OFF	TIN	GRP
16879	@USER God help us if that happens	NOT	NULL	NULL
14092	@USER He is just carrying out #MaxineWaters mission! #RedWaveRising #GoodbyeDemocrats	NOT	NULL	NULL
51029	@USER what about all the refugees that destroy the country ( radical Islamic )!! You will get out them to their countries? #cleaningcanada #canadaelection2019 #canada #Conservatives	OFF	TIN	GRP
44459	@USER @USER How about sensible gun control?	NOT	NULL	NULL
78198	@USER @USER @USER I understand how U feel but that’s something the liberals would do.  They go low. We don’t.  Please. We’re not Antifa. They R  We’re not going around shooting at conservatives. They do. We’re not the lying communist socialist lowlifes. They R Let’s not act like they do. Thank U	NOT	NULL	NULL
91851	@USER 😂😂😂 that he is	NOT	NULL	NULL
37620	@USER Good riddance!	NOT	NULL	NULL
65691	@USER @USER Isnt the NRA that propaganda pushing corporate lobby group that cares about profits and only profits? No idea who the rest of these crackpots are. That guy looks like he has an AR15 stuck up his ass.	OFF	TIN	OTH
81306	@USER @USER He'd probably get his face bashed in by a horde of angry Antifa armed with lead pipes.	NOT	NULL	NULL
38926	@USER Depending on a government or politician to furnish ones basic needs make the individual or group of citizens lazy	NOT	NULL	NULL
50981	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Thank you for adding me Razor!  Patriots- if you aren’t following my Primary account @USER - will you take a minute &amp; Follow me? Thanks &amp; MAGA🇺🇸 URL	NOT	NULL	NULL
62675	@USER @USER @USER So what if she is!	NOT	NULL	NULL
57860	@USER You are.	NOT	NULL	NULL
86993	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Lets roll #MAGA patriots!  Add ten of your favorite patriots  @USER  @USER  @USER @USER @USER  @USER  @USER @USER @USER @USER @USER @USER @USER URL	NOT	NULL	NULL
56873	@USER @USER @USER @USER @USER @USER @USER @USER @USER The majority of those are suicides.  You can not provide evidence that gun control reduces homicides.	OFF	TIN	IND
25030	@USER @USER Sorry for the Democratic party is the party of hate they formed the KKK and antifa. The GOP it's finally got back in the office and the economy is booming and people have jobs wow overlook this. You liberal people are the most trashy ignorant things on this planet.	OFF	TIN	GRP
54928	@USER He’s an actor. Please wake up.	NOT	NULL	NULL
18154	@USER She is tripping	NOT	NULL	NULL
47728	@USER The tide is changing....the Dems on Defense &amp; the #MSM are at a lost! They know what is coming very soon! NO ONE GETS A PASS...#QANON #TrustThePlan #WWG1WGA 👌🏼❤️🇺🇸🦅Love our @USER 45 #MAGA #KAG #KavanaughForSCOTUS will be a reality! God Bless!	NOT	NULL	NULL
76837	@USER @USER @USER @USER @USER You'll prob hear me screaming	NOT	NULL	NULL
36013	@USER Can Connecticut get a date if around the Fairfield county *cough BRIDGEPORT cough*. It will be hard to go to New York if people got school😭	NOT	NULL	NULL
10790	@USER @USER Fuck the Steelers bah on my mama that’s some racist shyt they doing don’t wanna pay that dude and call him selfish for not wanted to report	OFF	TIN	GRP
89529	@USER @USER @USER Alien-ilegal! See?	NOT	NULL	NULL
96189	@USER I guess people won’t be voting conservatives in the next provincial election 😂	NOT	NULL	NULL
10901	@USER OH MY GOSH!! I LOVE HER!!!! a beautiful loaf &lt;3 you are an angel for taking care of her!	NOT	NULL	NULL
55267	@USER @USER He is great. Wish they moved him to 7 slot before Tucker	NOT	NULL	NULL
27437	@USER @USER @USER You have of notice that he is not too much appreciated anymore here at the moment ! Good evening  ! 😘 I'sorry for my English wrote.	NOT	NULL	NULL
41712	@USER @USER @USER @USER @USER Oh and how do think the victim feels? Im sure she is fine with the death threats and insults she’s been getting spewed at her by you fine Christian conservatives	OFF	UNT	NULL
50166	@USER Either way we have your back. Don't be thinking that you are dealing alone out here.	NOT	NULL	NULL
81337	@USER @USER Liberals didn't give Juanita Broderick a chance to be heard or Keith Ellison's accuser. Can't have it both ways.	NOT	NULL	NULL
64674	"@USER @USER @USER I suppose if the anti-Trumps had accepted their loss with grace, did some soul searching and worked to draw voters, then the animosity wouldn't exist. Instead, pussy hats, Antifa, Trump supporters=Nazis, the resistance,"" impeachement...we acknowledge your animus and return it."""	NOT	NULL	NULL
41734	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Yassss!!!  Trump Wins Law Suit - Cali Court Overturns Gun Control Law URL via @USER	NOT	NULL	NULL
70909	10 Winning Arguments Against Gun Control – Libertennial URL	NOT	NULL	NULL
46792	@USER If this woman was telling the truth and was told about it years ago then the accuser lied in her letter when she said she didn’t tell anyone.  This second woman kills her credibility and shows that liberals are willing to lie to stop K	NOT	NULL	NULL
19662	@USER The Klan was the militant arm of the Democrat Party.  I haven’t seen a past member in public since Sen Byrd died.  Antifa is the new militant arm.	NOT	NULL	NULL
54994	@USER we are done. you have no knowledge base for any of this and you are drunk on lies.	OFF	TIN	IND
84543	@USER Vote Cruz!!! Beto is part of the Deep State that will turn control back over to the corrupted liberals!!!!	OFF	TIN	IND
87452	@USER Every day Breitbart finds a new hill to die on. And every day the sheep follows its lies.	NOT	NULL	NULL
84835	@USER Can we all stop pretending that the Catholic Church is not the seat of Satan on earth?	OFF	TIN	OTH
